,artist_id,artist_name_kor,birth,death,money,canvas_size_money,auction_date,auction_place,artwork_type,make_year,size_length,size_length_inch,size_width,size_width_inch,canvas_size,half_year,estimate_high,estimate_low
59,6987,김환기,1913,1974,85000000.0,7083333.333333333,2021-03-17,SEOUL,work on paper,,61.0,24.015761,46.0,18.110246,12.0,1,120000000.0,85000000.0
60,6987,김환기,1913,1974,52000000.0,17333333.333333332,2021-03-17,SEOUL,work on paper,1971,27.0,10.629927,21.5,8.4645715,3.0,1,50000000.0,25000000.0
61,6987,김환기,1913,1974,50000000.0,25000000.0,2021-04-28,SEOUL,work on paper,1961,14.5,5.7086645,24.5,9.6456745,2.0,1,40000000.0,28000000.0
62,6987,김환기,1913,1974,390000000.0,9750000.0,2021-04-28,SEOUL,paintings,,100.0,39.3701,65.1,25.6299351,40.0,1,800000000.0,380000000.0
63,6987,김환기,1913,1974,39000000.0,6500000.0,2021-04-28,SEOUL,work on paper,1955,35.5,13.976385500000001,42.5,16.7322925,6.0,1,45000000.0,30000000.0
64,6987,김환기,1913,1974,36000000.0,18000000.0,2021-05-26,SEOUL,work on paper,,24.5,9.6456745,18.0,7.0866180000000005,2.0,1,40000000.0,23000000.0
65,6987,김환기,1913,1974,36000000.0,18000000.0,2021-05-26,SEOUL,work on paper,1963,22.5,8.8582725,12.5,4.9212625,2.0,1,40000000.0,25000000.0
66,6987,김환기,1913,1974,200000000.0,33333333.333333332,2021-05-26,SEOUL,paintings,,39.5,15.551189500000001,39.5,15.551189500000001,6.0,1,300000000.0,200000000.0
67,6987,김환기,1913,1974,300000000.0,10000000.0,2021-05-26,SEOUL,print,,90.9,35.78742090000001,60.6,23.8582806,30.0,1,600000000.0,300000000.0
68,6987,김환기,1913,1974,350000000.0,11666666.666666666,2021-05-26,SEOUL,print,,60.6,23.8582806,90.9,35.78742090000001,30.0,1,500000000.0,280000000.0
69,6987,김환기,1913,1974,400000000.0,13333333.333333334,2021-05-26,SEOUL,work on paper,1973,91.0,35.826791,56.0,22.047256,30.0,1,600000000.0,400000000.0
70,6987,김환기,1913,1974,32000000.0,8000000.0,2021-05-26,SEOUL,work on paper,1956,22.5,8.8582725,30.5,12.0078805,4.0,1,40000000.0,25000000.0
71,6987,김환기,1913,1974,680000000.0,13600000.0,2021-06-23,SEOUL,paintings,1969,120.5,47.440970500000006,85.5,33.6614355,50.0,1,900000000.0,680000000.0
72,6987,김환기,1913,1974,26000000.0,13000000.0,2021-07-23,SEOUL,work on paper,,25.5,10.0393755,17.5,6.8897675000000005,2.0,2,50000000.0,25000000.0
73,6987,김환기,1913,1974,22000000.0,7333333.333333333,2021-07-23,SEOUL,work on paper,1956,26.0,10.236226,21.0,8.267721,3.0,2,40000000.0,17000000.0
74,6987,김환기,1913,1974,510000000.0,17000000.0,2021-08-25,SEOUL,paintings,1966,90.9,35.78742090000001,60.6,23.8582806,30.0,2,450000000.0,320000000.0
75,6987,김환기,1913,1974,210000000.0,21000000.0,2021-08-25,SEOUL,paintings,1952,45.5,17.9133955,53.0,20.866153,10.0,2,350000000.0,200000000.0
76,6987,김환기,1913,1974,200000000.0,25000000.0,2021-08-25,SEOUL,paintings,1936,37.9,14.9212679,45.5,17.9133955,8.0,2,300000000.0,200000000.0
